movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,audience_count,review_content,cleaned_content,keywords,combined_keywords
12 Angry Men (Twelve Angry Men),"Following the closing arguments in a murder trial, the 12 members of the jury must deliberate, with a guilty verdict meaning death for the accused, an inner-city teen. As the dozen men try to reach a unanimous decision while sequestered in a room, one juror (Henry Fonda) casts considerable doubt on elements of the case. Personal issues soon rise to the surface, and conflict threatens to derail the delicate process that will decide one boy's fate.","Sidney Lumet's feature debut is a superbly written, dramatically effective courtroom thriller that rightfully stands as a modern classic.",NR,"Classics, Drama",Sidney Lumet,Reginald Rose,"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman, Edward Binns, Jack Warden, Henry Fonda, Joseph Sweeney, Ed Begley Sr., George Voskovec, Robert Webber, Rudy Bond, James A. Kelly, Billy Nelson, John Savoca",105386.0,"Thought-provoking, continually riveting, and absolutely unforgettable - and surprisingly designed around a very simple, tightly budgeted, special-effects-free premise.",thought provoking continually riveting and absolutely unforgettable and surprisingly designed around a very simple tightly budgeted special effects free premise ,thought provoking continually riveting absolutely unforgettable tightly budgeted effects free,"thought provoking continually riveting absolutely unforgettable tightly budgeted effects free Classics, Drama"
Hawaii,"During the 1820s, a domineering young minister, Abner Hale (Max von Sydow), and his compassionate wife, Jerusha (Julie Andrews), embark on a dangerous sea voyage to Hawaii. When they arrive, Jerusha befriends the Hawaiian people and embraces their customs and culture, while Abner, intent on converting them to Christianity, views them as pagan savages. Jerusha grows unhappy with her marriage and begins to fall for Rafer Hoxworth (Richard Harris), a past lover.",,NR,"Action & Adventure, Classics, Drama",George Roy Hill,"Dalton Trumbo, Daniel Taradash","Julie Andrews, Max von Sydow, Richard Harris, Torin Thatcher, Carroll O'Connor, Elizabeth Cole, Diane Sherry, Heather Menzies, Gene Hackman, John Cullum, Lou Antonio, Jocelyne La Garde, Manu Tupou, Ted Nobriga, Elisabeth Logue, Elizabeth Logue, Lokelani S. Chicarell, Malcolm Atterbury, Dorothy Jeakins, George Rose, Michael Constantine, John Harding, Robert Crawford Jr., Robert Oakley, Henrik von Sydow, Clas S. von Sydow, Bertil Werjefelt, Bette Midler",1541.0,The film features a towering performance by Max von Sydow ... although it's Jocelyne LaGarde who nabbed the most praise for her delightful turn.,the film features a towering performance by max von sydow although it s jocelyne lagarde who nabbed the most praise for her delightful turn ,film features max von sydow turn jocelyne lagarde performance,"film features max von sydow turn jocelyne lagarde performance Action & Adventure, Classics, Drama"
Loser,"Paul Tannek (Jason Biggs) is a small town scholarship student in the big city having trouble fitting in at his college. With his hunter's cap and kind personality, Paul is an outsider among the self-anointed, sophisticated hipster crowd. As for his pot-smoking, girl chasing roommates, Paul's need to study takes a back seat to their overwhelming desire to party. Roommate Chris can only offer a floundering Paul this piece of advice: ""For your own good, just try to be not so much... like you.""","In the grand tradition of teen flicks, Loser comes across as another predictable and underwritten movie with nothing new to offer.",PG-13,"Comedy, Drama, Romance",Amy Heckerling,Amy Heckerling,"Jason Biggs, Mena Suvari, Greg Kinnear, Zak Orth, Dan Aykroyd, Jimmi Simpson, Thomas Sadoski, Twink Caplan, Bobby Slayton, Robert Miano, Mollie Israel, Colleen Camp, Andy Dick, Steven Wright, Brian Backer, Meredith Scott Lynn, David Spade, Bobby Miano, Stuart Cornfeld, Taylor Negron, Andrea Martin, Scott Thomson, Kedar Brown, Catherine Black, Rick Demas, Sanjay Talwar, Tracy Dawson, Carolyn Goff, Mike Beaver, Richard Blackburn, Billy Otis, Jenny Kim, Alison Sealy-Smith, Martin Roach, Heidi Weeks, Daniela Olivieri, Kavita Persaud, Corwin Hall, Andrew Storms, Serena Lea, Nicholas Michael Bacon, Valerie Boyle, Colleen Reynolds, Jack Jessop, Mallory Margel, Mark Patrick Carducci, Tanja Jacobs, Darrin Brown, James Barret, Robert Tinkler, Katherine Shekter, Robinne Fanfair, Clare Martina Preuss, Sadie LaBlanc, Silvana Kane, Kerri Michalica, Geoffrey Antoine, Danny Truelove, Marc McMulkin, Jonathon Fernandes, Tiffany Leonardo",52079.0,"Boosting a smart, savvy screenplay and a bright, young cast, Amy Heckerling succeeds in telling an oft-told story by writing characters who may be flawed, but are good-hearted inside and often out.",boosting a smart savvy screenplay and a bright young cast amy heckerling succeeds in telling an oft told story by writing characters who may be flawed but are good hearted inside and often out ,smart savvy screenplay good hearted inside young cast amy heckerling,"smart savvy screenplay good hearted inside young cast amy heckerling Comedy, Drama, Romance"
The Road Home (Wo de fu qin mu qin),"City businessman Luo Yusheng returns to his home village in North China for the funeral of his father, the village teacher. Before returning to the city, Yusheng symbolically honors his father's dearest wish: he spends one day teaching in the village school.","Beautifully filmed, The Road Home is a simple touching and tender love story.",G,"Art House & International, Drama, Romance",Zhang Yimou,Bao Shi,"Ziyi Zhang, Zheng Hoa, Zhao Yuelin, Li Bin, Li Bin, Zhang Zhan, Guifa Chang, Honglei Sun, Wencheng Sung, Hao Zheng, Liu Qi, Ji Bo, Zhongxi Zhang, Zheng Hao",8837.0,"Its fine acting -- especially by Zhang Ziyi -- and its visual artistry trigger deep emotions, despite a simple story.",its fine acting especially by zhang ziyi and its visual artistry trigger deep emotions despite a simple story ,fine acting especially story visual artistry trigger deep emotions,"fine acting especially story visual artistry trigger deep emotions Art House & International, Drama, Romance"
Iris,"Two of the most acclaimed actresses of our time, Judi Dench and Kate Winslet, bring to the screen one of the most extraordinary women of her generation, celebrated author, Iris Murdoch. From her days as a brilliant scholar at Oxford, where she thrilled the world around her with her libertine spirit, through her career as a philosopher and novelist, Iris was truly ahead of her time.","A solidly constructed drama, Iris is greatly elevated by the strength of its four lead performances.",R,"Drama, Romance",Richard Eyre,"Charles Wood, Richard Eyre","Judi Dench, Jim Broadbent, Kate Winslet, Hugh Bonneville, Penelope Wilton, Eleanor Bron, Angela Morant, Timothy West, Sioban Hayes, Juliet Aubrey, Joan Bakewell, Kris Marshall, Tom Mannion, Derek Hutchinson, Samuel West, Saira Todd, Juliet Howland, Charlotte Arkwright, Harriet Arkwright, Siobhan Hayes, Matilda Allsopp, Steve Edis, Emma Handy, Stephen Marcus, Pauline McGlynn, Gabrielle Reidy, Pauline McLynn, James Horner",9394.0,Two cannily coordinated pairs of actors effect a moving memoir of the late English author Iris Murdoch.,two cannily coordinated pairs of actors effect a moving memoir of the late english author iris murdoch ,cannily coordinated pairs moving memoir actors effect english author iris,"cannily coordinated pairs moving memoir actors effect english author iris Drama, Romance"
Nicholas Nickleby,"After the death of the family patriarch, young Nicholas Nickleby (Charlie Hunnam) and his family are left with no means to survive. The family is forced to split up, and Nicholas lands in a school run by brutish principal Wackford Squeers (Jim Broadbent). Eventually, Nicholas makes a friend named Smike (Jamie Bell), and the two boys break free. Nicholas reunites with his family, but learns he must now defend his sister from the advances of menacing suitor Sir Mulberry Hawk (Edward Fox).","Thanks to a strong cast of experienced actors and director Douglas McGrath's steady hand, Nicholas Nickleby is a worthy and respectful adaptation of the Dickens novel.",PG,Drama,Douglas McGrath,Douglas McGrath,"Charlie Hunnam, Jamie Bell, Christopher Plummer, Jim Broadbent, Juliet Stevenson, Anne Hathaway, Edward Fox, Romola Garai, Stella Gonet, Andew Havill, Nathan Lane, Tom Courtenay, Alan Cumming, Barry Humphries, Timothy Spall, Gerard Horan, Bruce Cook, Philip Davis, Heather Goldenhersh, Nicolas Rowe, William Ash, Miranda Richardson, Kevin Mckidd, Nicholas Rowe, David Bradley, Helen Coker, Sophie Thompson, Hugh Mitchell, Angus Wright, Eileen Walsh, Andrew Havill, Henry McGrath, Poppy Rogers",2724.0,"Like the Dickens novel on which it's based, director Douglas McGrath's Nicholas Nickleby overcomes the earnest blandness of its eponymous hero with wonderful side characters.",like the dickens novel on which it s based director douglas mcgrath s nicholas nickleby overcomes the earnest blandness of its eponymous hero with wonderful side characters ,dickens novel eponymous hero earnest blandness nicholas nickleby director douglas,dickens novel eponymous hero earnest blandness nicholas nickleby director douglas Drama
The Hunted,"""The Hunted"" is a suspense thriller about a tracker, Bonham (Tommy Lee Jones), who teams up with FBI agent Abby Durrell (Connie Nielsen) to hunt down a trained assassin Hallam (Benicio Del Toro). With precision and skill, the predator remains one step ahead, and escapes into the city.",An all too familiar chase movie that's not worth the talents involved.,R,"Action & Adventure, Mystery & Suspense",William Friedkin,"David Griffiths, Art Monterastelli, Peter Griffiths","Tommy Lee Jones, Benicio Del Toro, Connie Nielsen, Leslie Stefanson, John Finn, José Zúñiga, Ron Canada, Mark Pellegrino, Jenna Boyd, Carrick O'Quinn, Lonny Chapman, Rex Linn, Eddie Velez, Alexander MacKenzie, Hank Cartwright, Aaron Brounstein, Gary Taylor, Michael Williamson, Alisha Garric, Bobby Preston, Nathan Zabatka, Jeff Gianola, Brent Braun, Steve Enfield, Michael White, Mio Drag Jakula, Neno Pervan, Zoran Radanovich, Caitlin Clements",41258.0,One-on-one match-up between Tommy Lee Jones and Benicio Del Toro is a torturously slow misfire that drips blood.,one on one match up between tommy lee jones and benicio del toro is a torturously slow misfire that drips blood ,tommy lee jones torturously slow misfire del toro blood,"tommy lee jones torturously slow misfire del toro blood Action & Adventure, Mystery & Suspense"
Hide and Seek,"Following the suicide of his wife (Amy Irving), psychologist David Callaway (Robert De Niro) decides to take his daughter, Emily (Dakota Fanning), away from New York City to a house in the country for a fresh start. Unfortunately, Emily is too grief-stricken to really appreciate her new surroundings, and she hasn't made any friends, save Charlie, who is imaginary. When Charlie begins to harbor resentment toward David, an already bad situation gets worse.","Robert De Niro and especially Dakota Fanning have earned some praise for their work in Hide and Seek, but critics have called the rest of the film derivative, illogical and somewhat silly.",R,Mystery & Suspense,John Polson,"Ari Schlossberg, Barry Josephson","Robert De Niro, Dakota Fanning, Famke Janssen, Elisabeth Shue, Amy Irving, Dylan Baker, Melissa Leo, Robert John Burke, Molly Grant Kallins, David Chandler, Amber McDonald, Josh Flitter, Alicia Harding, Jake Dylan Baumer, Stewart Summers, James McCaffrey, Jack Dylan Baumer, Rose Pasquale, Brendan Sexton III",278266.0,"This movie has more red herrings than an Agatha Christie novel combined with the aquarium downtown. The real question is, 'How did this stinker attract such a big name cast?'",this movie has more red herrings than an agatha christie novel combined with the aquarium downtown the real question is how did this stinker attract such a big name cast ,red herrings aquarium downtown real question agatha christie novel combined,red herrings aquarium downtown real question agatha christie novel combined Mystery & Suspense
Ballets Russes,"From 1909 to 1929, the Ballets Russes traveled the globe, becoming one of the most famous ballet troupes in the world as they collaborated with painters and filmmakers, and setting new standards for artistry in dance production. When their impresario, Sergei Diaghilev, died in 1929, the company's glory years came to an end, but their legend persisted through the 20th century. A 2000 reunion of surviving members in New Orleans provides the world with an opportunity to pay tribute.","Even if you know little about ballet, there is much to love about this documentary's captivating archival footage and its interviews with elderly former dancers who have much to share.",NR,"Documentary, Musical & Performing Arts","Dayna Goldfine, Daniel Geller",Dan Geller,"Ann Barzel, Irina Baronova, Yvonne Chouteau, Yvonne Craig, Frederic Franklin, Alan Howard, Nathalie Krassovska, Alicia Markova, Nina Novak, Wakefield Poole, Tatiana Riabouchinska, Mia Slavenska, Tatiana Stepanova, Maria Tallchief, Tamara Tchinerova Finch, Miguel Terekhov, Nini Theilade, Raven Wilkonson, George Zoritch, Rochelle Zide",2748.0,"Misses out on a chance for wider appeal by mixing approaches, dryly unloading lots of inside-baseball information about a ballet company that went kaput more than 40 years ago.",misses out on a chance for wider appeal by mixing approaches dryly unloading lots of inside baseball information about a ballet company that went kaput more than 40 years ago ,wider appeal went kaput ago baseball approaches dryly unloading,"wider appeal went kaput ago baseball approaches dryly unloading Documentary, Musical & Performing Arts"
Antikörper (Antibodies),"After a serial killer (André Hennicke) is arrested, a small-town policeman (Wotan Wilke Möhring) gets to interrogate him, but the interview challenges the cop's beliefs, turning him into a threat.","It's derivative and its more ambitious aspirations don't amount to much, but Antibodies remains a reasonably diverting and well-made thriller.",NR,"Drama, Horror, Mystery & Suspense",Christian Alvart,,"Wotan Wilke Möhring, Heinz Hoenig, André Hennicke, Norman Reedus, Ulrike Krumbiegel, Hauke Diekamp, Jürgen Schornagel, Christian von Aster, Waltraud Witte, Waltraude Witte, Konstantin Graudus",4646.0,"A tangible sense of evil lingers over this German serial killer shocker, but the introduction of religious symbolism tips the action into self-conscious melodrama.",a tangible sense of evil lingers over this german serial killer shocker but the introduction of religious symbolism tips the action into self conscious melodrama ,tangible sense evil lingers melodrama serial killer symbolism,"tangible sense evil lingers melodrama serial killer symbolism Drama, Horror, Mystery & Suspense"
